name	indication	catagories	synonyms
Sulfamethazine	For the treatment bacterial infections causing bronchitis, prostatitis and urinary tract infections.	Sulfonamides****spec****	(P-Aminobenzolsulfonyl)-2-amino-4,6-dimethylpyrimidin****spec****2-(4-Aminobenzenesulfonamido)-4,6-dimethylpyrimidine****spec****2-(P-Aminobenzenesulfonamido)-4,6-dimethylpyrimidine****spec****2-Sulfanilamido-4,6-dimethylpyrimidine****spec****4-Amino-N-(2,6-dimethyl-4-pyrimidinyl)benzenesulfonamide****spec****4-Amino-N-(4,6-dimethyl-pyrimidin-2-yl)-benzenesulfonamide****spec****4-amino-N-(4,6-Dimethylpyrimidin-2-yl)benzenesulfonamide****spec****4,6-Dimethyl-2-sulfanilamidopyrimidine****spec****6-(4'-Aminobenzol-sulfonamido)-2,4-dimethylpyrimidin****spec****N-(4,6-Dimethyl-2-pyrimidyl)sulfanilamide****spec****N(1)-(4,6-Dimethyl-2-pyrimidinyl)sulfanilamide****spec****N(1)-(4,6-Dimethyl-2-pyrimidyl)sulfanilamide****spec****SMZ****spec****Sulfadimethyldiazine****spec****Sulfadimethylpyrimidine****spec****Sulfadimidina****spec****Sulfadimidine****spec****Sulfadimidinum****spec****Sulfametazina****spec****Sulfametazyny****spec****Sulfamezathine****spec****Sulphadimethylpyrimidine****spec****Sulphamethazine****spec****
Liotrix	May be used to treat primary, secondary or tertiary hypothyroidism. May also be used to suppress thyroid stimulating hormone (TSH) secretion in patients with simple (nontoxic) goiter, subacute or chronic lymphocytic thyroiditis multinodular goiter, and in the management of thyroid cancer. May be used in conjunction with other antithyroid agents to treat thyrotoxicosis to prevent goitrogenesis and hypothyroidism. May also be used for differential diagnosis of suspected mild hyperthyroidism or thyroid gland autonomy.	Hormone Replacement Agents****spec****	Levothyroxine sodium - liothyronine sodium mixt****spec****Liotrix (T4;T3)****spec****Thyrolar****spec****
Thyroglobulin	For the treatment of hypothyroidism (deficiency in the production of thyroid hormone).		Thyroglobulin****spec****Thyroglobuline****spec****Thyroglobulinum****spec****Tiroglobulina****spec****
Ursodeoxycholic acid	The drug reduces cholesterol absorption and is used to dissolve (cholesterol) gallstones in patients who want an alternative to surgery.	Cholagogues and Choleretics****spec****	(3alpha,5beta,7beta)-3,7-dihydroxycholan-24-oic acid****spec****(3α,5β,7β)-3,7-dihydroxycholan-24-oic acid****spec****3alpha,7beta-Dihydroxy-5beta-cholan-24-oic acid****spec****Acide ursodesoxycholique****spec****Acido ursodeossicolico****spec****Acido ursodeoxicolico****spec****Acidum ursodeoxycholicum****spec****Actigall****spec****UDCA****spec****Ursodeoxycholate****spec****Ursodeoxycholic acid****spec****Ursodiol****spec****
Ketazolam	Ketazolam could be used for the treatment of anxiety. In approved countries, it is indicated for the treatment of anxiety, tension, irritability and similar stress related symptoms.	Benzodiazepines****spec****	Ketazolam****spec****U-28774****spec****
Prazepam	For the treatment of anxiety disorders.	Anti-Anxiety Agents****spec****GABA Modulators****spec****	Centrax****spec****Prazepamum****spec****
Quazepam	Used to treat insomnia.	Benzodiazepines****spec****Hypnotics and Sedatives****spec****	Doral****spec****Quazepamum****spec****
Everolimus	Everolimus is indicated for the treatment of postmenopausal women with advanced hormone receptor-positive, HER2-negative breast cancer (advanced HR+ BC) in combination with exemestane, after failure of treatment with letrozole or anastrozole. Indicated for the treatment of adult patients with progressive neuroendocrine tumors of pancreatic origin (PNET) with unresectable, locally advanced or metastatic disease. Indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of treatment with sunitinib or sorafenib. Indicated for the treatment of adult patients with renal angiomyolipoma and tuberous sclerosis complex (TSC), not requiring immediate surgery. Indicated in pediatric and adult patients with tuberous sclerosis complex (TSC) for the treatment of subependymal giant cell astrocytoma (SEGA) that requires therapeutic intervention but cannot be curatively resected.	Immunosuppressive Agents****spec****	Afinitor****spec****Certican****spec****RAD001****spec****SDZ-RAD****spec****VOTUBIA****spec****Zortress****spec****
Solifenacin	For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency.	Muscarinic Antagonists****spec****Anti-Incontinence Agents****spec****Antispasmodics****spec****	solifenacin succinate****spec****Vesicare****spec****YM-67905****spec****YM-905****spec****
Iron	Used in preventing and treating iron-deficiency anemia.	Trace Elements****spec****Supplements****spec****Anti-anemic Agents****spec****	26Fe****spec****Eisen****spec****Fe****spec****fer****spec****Ferrum****spec****Hierro****spec****Iron****spec****
Zinc		Trace Elements****spec****Zinc Salts****spec****	30Zn****spec****Cinc****spec****Zinc****spec****Zincum****spec****Zink****spec****Zn****spec****Zn(ii)****spec****Zn2+****spec****
Cinolazepam	For the management of anxiety disorders or for the short-term relief of the symptoms of anxiety or anxiety associated with depressive symptoms.	Benzodiazepines****spec****Hypnotics and Sedatives****spec****	1-(2-Cyanoethyl)-7-chloro-3-hydroxy-5-(2'-fluorophenyl)-1,3-dihydro-2H-1,4-benzodiazepin-2-one****spec****7-chloro-5-(2-Fluorophenyl)-2,3-dihydro-3-hydroxy-2-oxo-1H-1,4-benzodiazepine-1-propanenitrile****spec****7-chloro-5-(O-Fluorophenyl)-2,3-dihydro-3-hydroxy-2-oxo-1H-1,4-benzodiazepine-1-propionitrile****spec****Cinolazepamum****spec****
Nitrazepam	Used to treat short-term sleeping problems (insomnia), such as difficulty falling asleep, frequent awakenings during the night, and early-morning awakening.	Anti-Anxiety Agents****spec****Hypnotics and Sedatives****spec****Anticonvulsants****spec****GABA Modulators****spec****	1,3-dihydro-7-Nitro-5-phenyl-2H-1,4-benzodiazepin-2-one****spec****2,3-dihydro-7-Nitro-5-phenyl-1H-1,4-benzodiazepin-2-one****spec****7-Nitro-1,3-dihydro-5-phenyl-2H-1,4-benzodiazepin-2-one****spec****7-Nitro-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one****spec****Apodorm****spec****Atempol****spec****Benzalin****spec****Calsmin****spec****Eatan****spec****Eunoctin****spec****Gerson****spec****Hipnax****spec****Hipsal****spec****Ibrovek****spec****Imeson****spec****Imesont****spec****Mogadon****spec****N-Desmethylnimetazepam****spec****Nelbon****spec****Nelmat****spec****Neozepam****spec****Neuchlonic****spec****Nitrados****spec****Nitrazepamum****spec****Paxisyn****spec****Pelson****spec****Persopit****spec****Radedorm****spec****Relact****spec****Remnos****spec****Ro 4-5360****spec****Ro 5-3059****spec****Somitran****spec****Sonebon****spec****Sonnolin****spec****Surem****spec****Trazenin****spec****Unisomnia****spec****
Cilastatin	Combined intravenously with imipenem in order to protect it from dehydropeptidase and prolong its antibacterial effect.		(L)-7-(2-Amino-2-carboxy-ethylsulfanyl)-2-[(2,2-dimethyl-cyclopropanecarbonyl)-amino]-hept-2-enoic acid****spec****(Z)-(S)-6-Carboxy-6-[(S)-2,2-dimethylcyclopropanecarboxamido]hex-5-enyl-L-cysteine****spec****(Z)-7-((R)-2-Amino-2-carboxy-ethylsulfanyl)-2-[((S)-2,2-dimethyl-cyclopropanecarbonyl)-amino]-hept-2-enoic acid****spec****Cilastatina****spec****Cilastatine****spec****Cilastatinum****spec****
Imipenem	For the treatment of bacterial infections caused by susceptible bacteria.	Anti-Bacterial Agents****spec****	(5R,6S)-3-((2-(Formimidoylamino)ethyl)thio)-6-((R)-1-hydroxyethyl)-7-oxo-1-azabicyclo(3.2.0)hept-2-ene-2-carboxylic acid****spec****(5R,6S)-3-(2-Formimidoylamino-ethylsulfanyl)-6-((R)-1-hydroxy-ethyl)-7-oxo-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylic acid****spec****(5R,6S)-6-((R)-1-Hydroxyethyl)-3-(2-(iminomethylamino)ethylthio)-7-oxo-1-azabicyclo(3.2.0)hept-2-ene-2-carbonsaeure****spec****Imipemide****spec****Imipenem****spec****Imipenem anhydrous****spec****Imipenem, n-formimidoyl thienamycin****spec****Imipenemum****spec****IMP****spec****N-Formimidoyl thienamycin****spec****N-formimidoylthienamycin****spec****
Probucol	Used to lower LDL and HDL cholesterol.	Anticholesteremic Agents****spec****Antioxidants****spec****	4,4'- (Isopropylidenedithio)bis(2,6-di-tert-butylphenol)****spec****Acetone bis(3,5-di-tert-butyl-4-hydroxyphenyl) mercaptole****spec****Biphenabid****spec****Bisbid****spec****Bisphenabid****spec****DH-581****spec****Lesterol****spec****Lorelco****spec****Lurselle****spec****Probucolum****spec****Serterol****spec****Superlipid****spec****
Tiaprofenic acid	Tiaprofenic acid is used to treat pain, especially arthritic pain.	Anti-Inflammatory Agents, Non-Steroidal****spec****	2-(5-Benzoyl-thiophen-2-yl)-propionic acid****spec****2-(5-Benzyl-2-thienyl)propionsaeure****spec****5-Benzoyl-alpha-methyl-2-thiopheneacetic acid****spec****5-Benzoyl-alpha-methylthiophene-2-acetic acid****spec****Acide tiaprofenique****spec****Acido tiaprofenico****spec****Acidum tiaprofenicum****spec****alpha-Methyl-5-benzoyl-2-thienylacetic acid****spec****Tiaprofensaeure****spec****Tiaprofensäure****spec****
Lopinavir	Indicated in combination with other antiretroviral agents for the treatment of HIV-infection.	HIV Protease Inhibitors****spec****Anti-HIV Agents****spec****	LPV****spec****
Bacampicillin	For infections at the following sites: upper and lower respiratory tract; skin and soft tissue; urinary tract and acute uncomplicated gonococcal urethritis, when due to sensitive strains of the following organisms:  Gram-positive: streptococci (including <i>S. faecalis</i> and <i>S. pneumoniae</i>) and nonpenicillinase-producing staphylococci; Gram-negative: <i>H. influenzae</i>, <i>N. gonorrhoeae</i>, <i>E. coli</i>, <i>P. mirabilis</i>, <i>Salmonellae</i> and <i>Shigellae</i>.	Penicillins****spec****	1-[(Ethoxycarbonyl)oxy]ethyl (2S,5R,6R)-6-{[(2R)-2-amino-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate****spec****1'-Ethoxycarbonyloxyethyl-(6-D-alpha-aminophenylacetamido)penicillanate****spec****Bacampicilina****spec****Bacampicilline****spec****Bacampicillinum****spec****
Meticillin	Used to treat infections caused by susceptible Gram-positive bacteria, particularly beta-lactamase-producing organisms such as <i>Staphylococcus aureus</i> that would otherwise be resistant to most penicillins.	Penicillins****spec****Anti-Bacterial Agents****spec****	(2,6-Dimethoxyphenyl)penicillin****spec****(2S,5R,6R)-6-[(2,6-Dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid****spec****6-(2,6-Dimethoxybenzamido)penicillanic acid****spec****6beta-(2,6-Dimethoxybenzamido)penicillanic acid****spec****Methicillin****spec****Methicillinum****spec****Methycillin****spec****Meticilina****spec****Meticillin****spec****Meticilline****spec****Meticillinum****spec****
Pivampicillin	or the treatment of respiratory tract infections (including acute bronchitis, acute exacerbations of chronic bronchitis and pneumonia); ear, nose and throat infections; gynecological infections; urinary tract infections (including acute uncomplicated gonococcal urethritis) when caused by non penicillinase-producing susceptible strains of the following organisms: gram-positive organisms, e.g., streptococci, pneumococci and staphylococci; gram-negative organisms, e.g., H. influenzae, N. gonorrhoeae, E. coli, P. mirabilis. 	Penicillins****spec****Anti-Bacterial Agents****spec****	Ampicillin pivaloyloxymethyl ester****spec****Pivaloylampicillin****spec****Pivaloyloxymethyl ampicillinate****spec****Pivampicilina****spec****Pivampicilline****spec****Pivampicillinum****spec****
Pivmecillinam	Used to treat infections due to mecillinam-sensitive organisms such as urinary tract infections, salmonellosis and typhoid fever.	Penicillins****spec****Anti-Infective Agents, Urinary****spec****Anti-Bacterial Agents****spec****	Amdinocillin pivoxil****spec****Coactabs****spec****Pivmecilinamo****spec****Pivmecillinam****spec****Pivmecillinamum****spec****PMPC****spec****
Tazobactam	Used in combination with piperacillin to broaden the spectrum of piperacillin antibacterial action.		CL-298741****spec****Tazobactam****spec****YTR-830H****spec****
Ticarcillin	For the treatment of bacterial infections.	Penicillins****spec****Anti-Bacterial Agents****spec****	(2S,5R,6R)-6-{[(2R)-2-carboxy-2-thiophen-3-ylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid****spec****alpha-Carboxy-3-thienylmethylpenicillin****spec****Ticarcilina****spec****Ticarcillin supplement****spec****Ticarcilline****spec****Ticarcillinum****spec****
Propericiazine	For use as adjunctive medication in some psychotic patients. Propericiazine (Pericyazine)is used for the control of residual prevailing hostility, impulsiveness and aggressiveness. 	Phenothiazines****spec****	10-(3-(4-Hydroxypiperidino)propyl)phenothiazine-2-carbonitrile****spec****2-Cyano-10-(3-(4-hydroxy-1-piperidyl)propyl)phenothiazine****spec****2-Cyano-10-(3-(4-hydroxypiperidino)propyl)phenothiazine****spec****Cyano-3 ((hydroxy-4 piperidyl-1)-3 propyl)-10 phenothiazine****spec****Periciazina****spec****Periciazine****spec****Periciazinum****spec****Pericyazine****spec****Piperocyanomazine****spec****Propericiazine****spec****
Deferasirox	For the treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older.	Iron Chelating Agents****spec****	Deferasiroxum****spec****Exjade****spec****ICL 670****spec****ICL 670a****spec****
Valganciclovir	Valganciclovir is an antiviral medication used for the treatment of cytomegalovirus infections.	Antiviral Agents****spec****	Cymeval****spec****L-valine, ester with ganciclovir****spec****Valcyte****spec****Valganciclovir****spec****
Hydroxychloroquine	For the suppressive treatment and treatment of acute attacks of malaria due to <i>Plasmodium vivax</i>, <i>P. malariae</i>, <i>P. ovale</i>, and susceptible strains of <i>P. falciparum</i>. It is also indicated for the treatment of discoid and systemic lupus erythematosus, and rheumatoid arthritis.	Antimalarials****spec****Antirheumatic Agents****spec****Enzyme Inhibitors****spec****	(+-)-Hydroxychloroquine****spec****(±)-hydroxychloroquine****spec****2-((4-((7-chloro-4-Quinolyl)amino)pentyl)ethylamino)ethanol****spec****2-(N-(4-(7-Chlor-4-chinolylamino)-4-methylbutyl)ethylamino)ethanol****spec****7-chloro-4-(4-(Ethyl(2-hydroxyethyl)amino)-1-methylbutylamino)quinoline****spec****7-chloro-4-(4-(N-Ethyl-N-beta-hydroxyethylamino)-1-methylbutylamino)quinoline****spec****7-chloro-4-[4-(N-Ethyl-N-beta-hydroxyethylamino)-1-methylbutylamino]quinoline****spec****7-chloro-4-[5-(N-Ethyl-N-2-hydroxyethylamino)-2-pentyl]aminoquinoline****spec****Hidroxicloroquina****spec****Hydroxychloroquinum****spec****NSC4375****spec****Oxichlorochine****spec****Oxichloroquine****spec****Polirreumin****spec****
